Text_SubjectiveLit,Text_Anxiety,Text_Numeracy,Text_TrustPhys
"I feel that I can fully understand what is given to me, either to read or fill out. If I have any questions I ask them.  I am completely capable to make health decisions.",I worry most that one of my test results will come back negative and that I will have to undergo some sort of surgery or have to take some kind of medication.," I developed a sore underneath my big toe which was originally treated as gout, but turned out to be PAD.  I had to have a bilateral femoral bypass, followed by carotid surgery.  I learned an awful lot about how your body works going through all of that in the last 3 months.","Good communication is a must with your doctor. Mine is a very relaxed and sincere man.  He gives me his attention and takes his time to make sure everything is clear and that I have no questions.  He explains everything fully and has a game plan for how to proceed forward, and I love that about him."
I feel that I have no problems with anything needed to make healthcare decisions. I do work in the healthcare industry so I understand the paperwork requirements involved in patient care.,"I am afraid of being diagnosed with a serious illness, my blood pressure is usually up when being examined.",I had an abnormal Pap smear which taught me what I did not know about Pap smears and what the various results mean. I did not know that there were different levels of an abnormal Pap smear. This has helped me know that an abnormal result can have many reasons.,I trust my doctor because he listens and is open to what I have to say or suggest. He also is very good at explaining things and various options available for whatever I may need. (for example: medication options) 
I can almost always understand and remember what a doctor or nurse tells me. I understand all basic medical terminology as well as some more advanced terms.,Im always worried that there may be something more serious wrong with me than what I think there is. It always makes me paranoid that I will find out something negative.,"I had a previous knee injury and learned a lot about how to help it heal and what was actually wrong with it. A few months ago, my boss had the same injury. I was able to help give him tips on how to help it heal and explain to him what was actually wrong in easier terms than his doctor had.",I will only trust them if I have previously dealt with them. It takes a few visits for me to be able to trust in a doctor. I have encountered some that are only in it for the money and do not care about the patients.
"I'm pretty confident in my ability to obtain, process and understand information. My largest issues would be that I am generally reluctant to go to the doctor unless I absolutely need to, and that I often don't ask too many questions especially when I'm afraid of the answer. I will generally accept instructions from doctor without asking for explations, which probably also limits my ability to make decisions well. To this point, none of this has ever had a negative effect on me.","There's a lot that I don't know when I go into a doctor's office, and I'm often concerned that I'm forgetting to say something that is relevant to my health. I don't know what is and isn't necessary to know, and the whole experience makes me aware of my own frailty and mortality in a way I usually am not.","In college, I took a course, as an economics major, I took a course that was intended for premed students in how to read articles from medical jourls. I did well in the course, although there were clearly gaps in my knowledge because there elements of basic biology, like the brain-blood barrier, that I was almost completely unfamiliar with.","My primary care physician is my uncle, so I've known him my entire life and certainly do not think he'd put any concerns above my health. Also because he's a family member I've had lots of people approach me who are patients of his to tell me how much they trust him as well. As a doctor, he's both extremely careful and reassuring, and very experienced."
Sometimes I feel that I do not have a sufficient understanding of medical terminology to express to a doctor the concerns or problems I am having in a way that will help them to focus their treatment. I feel that often doctors are using a trial and error method of prescribing treatment and think that much of it could be because I am not communicating to them effectively.,"I think that the time constraints upon my doctor visit. I don't know what to discuss with them and it seems that if I bring up too much, I may be charged for an extra visit. And, when I bring up something with my primary care physician, it will probably result in one or more referrals which I prefer to avoid.",I knew when I was pregnant the first morning after I had conceived because I felt different upon my walk to work the next morning. It seemed as though everything I was used to doing took a lot of extra effort. I kept this to myself for several weeks until I was able to take a test and confirm that my personal diagnose was correct.,"Again, I think that the main reason is my inability to 'self-diagnose' and communicate my concerns with them. There is also something of a mistrust of the system within which they work as there are so many constraints upon doctors due to insurance coding and coverage. It seems to interfere with their ability to offer care."
I obtain information very well. I can remember details very easy especially if its about my health. I am very open minded and i always do whats best for myself. Being that i am young i feel like i should be fully aware of every health issue i may have.,I dont normally feel anxious or worried at the doctors. The only time i was infact worried and scared was when i burned my legs. I was scared for my life but they helped me through it,When i got burned i had 2nd and 3rd degree superficial burns from my kneecaps to my feet. 10% of my skin was burned.,I dont have a primary physician byt the two that i have been to really cares for thier patients. And will do everything in thier power to make sure you're ok.
"It's hard to say. It often depends on what it's about--if it's psychological, I can understand things a bit better, but with most GPs and such it's not something I'm well versed in",I don't know what could be wrong with me; the mystery bothers me. I would love to have straight answers at all times.,This one here has; it's likely shown how inept I am at math.,"I don't know them well; we're on insurance and don't get top notch treatment, and I don't know the doctors well enough to know how objective they are."
"I try and get all the information I can when I am facing, or if a loved one is facing, a health problem.  I read, I research, I listen to the doctor and nurses (especially to the nurses as they are hands-on,though my doctor explains things well). The written material is not too big a challenge normally, even when  not clearly written - I do ask when it's indecipherable because I need to understand things.","I think I am just allergic to doctor's offices!  I am one of those people whose  blood pressure goes up when tested in the doc's office.  I look at the trays of sharp instruments lying in wait on the counters and I am uneasy!  I have a vivid imagination.  I am anxious about any invasive tests, about possible pain, about possible bad news, esp. as I get older and older.  I have learned to trust my doctor, and as I have reached the age just this year when my yearly physical exam does not have to include a gyn exam, I am much more relaxed.  ","I have raised a family , with two children, who are now 34 and 36 years old.  I faced and dealt with the whole spectrum of childhood mishaps, common illnesses, and accidents, thank God successfully.  Mainly I got good at discerning when medical help was absolutely needed and when I could handle it myself with  ordinary first aid and care.","I have been under this doctor's care for over 10 years.  He inherited me as a patient from my previous physician, who retired. I was one of his first patients and we have become friends.  I have learned to trust him, and have never found his diagnostic instincts to be in error.  He knows when to treat me for a problem, and when to leave me alone.  He is a kind human being and a good physician."
"I think I am able to get all of the information that I need, although sometimes I can not think of what to ask until after the fact. Also at times, I may not completely understand what the doctor or nurse is saying, but I trust their diagnosis and directions for the most part. ","I am sometimes afraid that there will be something seriously wrong with me. I sometimes dread hearing the worst, but so far, it has always turned out just fine. ","When I went with my mom to the doctor about her heart issues, the doctor asked her how often she feels stress. She told him not very often, but I told him that she stresses literally all the time. She sees it as routing worrying, so she didn;t think it was worth mentioning. ","I trust them because they have a lot more knowledge about medical issues than I do. I think most if not all got into the profession to help people, and I dont think they would risk their reputations to harm me. "
"I'M HEALTH PROFESSIONAL, SO I'M PERFECTLY CONFIDENT THAT I UNDERSTAND ALL PRESENTED INFORMATION. ALSO INTERNET IS ALWAYS AVAILABLE IF THERE ARE SOME QUESTIONS.","Nothing really makes me feel anxious or worried too much, just a little. I can be worried about getting new diagnosis of something.",There were too many situations like that. Example - I explained to the patients the meaning of the consent forms for experimental treatments.,"All doctors, like all eople, are different. In my lifetime I had to change my doctors due to unprofessional aproach."
I have no difficulty understanding what is neccesary to make those decisions at the present time. It is difficult to predict what the future holds as I advance in age.,"Although I have been diagnosed with high cholesterol & diabetes II, I am not overly anxiuos or worried when I have my checkups",Was feeling tired before an annual checkup. I had a stress test done which indicated an afib problem,My primary care physician has been our family's doctore for 25 years. He is a caring man who explains thing in depth to my wife & I.
"I feel like I have a great degree of capacity to obtain, process and understand basic health information. I regularly visit my doctor and they frequently explain any and all tests and treatments, as well as answer every question I have in an easy to understand way. I also know what websites to use for additional information.","When I visit the doctor, I'm most worried about them finding something wrong with my overall health, or even something specific that could really harm me.  I worry I'll need some type of invasive procedure.","When my dad started displaying symptoms of pneumonia, I immediately had him rushed to the hospital.  If I didn't know the signs, he would have gone into septic shock.  My knowledge of health issues likely saved his life.","I trust my doctor because I've been seeing them for almost 10 years and they're familiar with my health and what works best for my body.  Up to this point, they've always given me accurate information and helped me improve my health in a safe way."
I read and understand English... And have no trouble asking questions to clarify anything that is not clear to me,I worried about being judged about my weight and unhealthy habits..I am open to advise but don't alway follow throug on advise,Was at work and my vision went blurry when to hospital and had test and was told had water on the brain,Have had same dr for 8 years and has always looked out for my best interest and has made sure the I get the medications that I need
"I think I am almost, if not fully, capable of making appropriate health decisions. I don't seem to have any issues with this at all that I have ever been aware of.",If I have an issue and I don't really know anything about what caused it or what can be done to fix the problem. I get worried thinking something really bad might happen.,I am a security guard as my job and there have been times where I had had to access our first aid kit in our security office and find a supply to give to an employee to help them.,I don't have any reason not to trust them. I haven't had any issues come up because I've trusted and taken their advice in the past. I don't think they would tell me false information.
"I personally have the capacity but I am very detailed and analytical and they often dail to fully answer my questions to my satisfaction so I often have to conduct my own research and discuss it with them further, sometimes at a subsequent appointment. It would be better if the initial communication was more informative.","During my last pregnancy, OBs would have me stay overnight in the hospital for non-stress testing, simply because they wanted to spend time with their families and didn't want to wait around for the hour it would have taken to observe me. Also, the nurses would tell me to drink water so they wouldn't order an IV, but the doctors always forced me to have an IV, even when I was in the hospital for a short time, drinking water the entire time. Once, the nurse tried to put in an IV three times, permanently damaging my left arm. When she gave up on my left, and starting stabbing my right arm, I was scared I wouldn't be able to use either of my hands the next day. Anyway, all of that was unnecessary and when someone is pregnant in particular, in the US, the doctors only care for the fetus, not the mother. This is why the US has such a high maternal mortality rate...this was told to me by a nurse and public health professional.","I was talking to another patient in my doctor's office about acupuncture in pregnancy and related issues. Apparently my doctor overheard me, and since then has mistaken me for a doula, since I seemed very informed on pregnancy health options.","Primary care is ok but I don't trust OB/GYNs. I had to switch twice at the end of my last pregnancy and was delivered by a midwife. The first OB/GYN was trying to force me to have a c-section for no reason, the second didn't support unmedicated birth and my chiropractor implored me to change to a midwife because she specializes in pregnancy and found that her patients had more success with midwives for unmedicated birth. I also had a doula and the birth was still tense due to the overbearing OBs in the practice, who almost forced me to have a c-section as well. Thankfully my doula was there to fight for me to get the birth I wanted. "
"I feel that I have superior capacity to obtain, process and understand basic health information and services in order to make appropriate health decisions. I tend to do my own research before making decisions, sometimes compiling positives and negatives and balancing them to make the most optimal decision.","I feel most worried that the doctor will find something, maybe it's cancer, or some other neurological disease. But even though logically, I shouldn't worry, it just becomes automatic. ","Having children made me a pseudo expert in diagnosing health issues and adding to my health knowledge. Many times, my children would exhibit symptoms and if they appear benign enough I would go online to check symtoms to self diagnose. While doing that, I've read up and gained a lto of knowledge on many different illnesses and its treatments. ","I trust my primary care physician because he will tell me that I'm doing something wrong. For example, my blood sugars were elevated and he told me directly that if I don't cut down my candy consumption, he will not see me as a patient anymore. He really cares for my health and not only that but explains things in real context."
"I can understand completeley as long as they do not use too many technical words. In that case, I ask them to explain with more day to day wording.",I usually do not feel anxious or worried when visiting the doctor's office. I only got bored if I need to wait too long.,"My friend's and family usually ask my opinion on their health issues, ask my advice about which vitamins or supplements could help them with the issues they have. ","He usually explains the situation to me, asks my opinion when choosing a treatment. This way, he earned my trust"
I have superior capacity to comprehend and process all medical information I receive to make appropriate health decisions.,"I don't feel animus,nervous or worried. My doctor puts me completely at ease and we proceed with the exam/visit in steps.  He lets me know when things will happen and why they need to happen.  There is no fear with him.",I had to learn about my health conditions from diagnosis to research.  I not only consulted with my doctor but also sought papers from Mayo Clinic and Cleveland Clinic,"I completely trust my doctor. He takes the time to actually sit and listen to my concerns and thoroughly answers every question I have.  He is a doctor, and educator, a mentor and friend. "
"I think I am able to obtain, process and understand basis heath information easily as I am in the medical field myself. I feel competent in understanding diagnosis as well as doctors orders. I Usually don't have any issues filling out medical forms. ",I think the biggest thing is that I always think the worst and assume I will get bad news a lot of times. It takes a lot for me to go to the doctor usually so when I do go I get nervous and anxious. ,The most important experience was when I took my state board exams for my PTA license. I had to be well versed in medical terminology as well as diseases and the causes and treatment for each one. Most important was knowing what muscle controls what part of the body. ,I don't have a primary doctor but I do feel that most doctors that I have dealt with of very trustworthy. I haven't had any issues of being mislead of being misinformed over any medical situation. Most doctors I have dealt with seem sincere and show concern. 
I think I mostly understand what I read and am told but there is not always an effort to make things easily understandable. If there are a lot of technical terms I may have questions or need things explained to me. I want to make sure I'm understanding completely when it comes to my health.,I just worry something bad will be found. That's always a possibility. I dont really like being touched by a stranger either.,My second c-section.  I knew what to expect and how everything would go so I was pretty relaxed and confident through it all.,"I dont think I've ever trusted a doctor completely. When I see them taking meetings with pharm reps and so many patients they only have about 5-10 minutes with each, I dont feel very confident about everything they say and do. They seem to go on vacation a lot too."
I feel like I am able to understand what is going on. If not I ask questions so that I know what is going on.,What makes me feel anxious about the doctors office is finding out information that I didn't want to hear or finding out bad news.,I dont have much experience of health or medical issues. I just research different symptoms online or go to the doctor.,Sometimes the information is bleak and not easily understood. sometimes i feel like i dont get the treatment or answers that i need.
"I think I have a pretty good idea about it, but with the issue of insurance, it makes the whole process a lot more harrowing. I understand what doctors tell me and have a general idea of what to fill out on health forms, but there are times when that intersects with insurance and I'm at a complete loss","I don't like waiting to see the doctor, and I don't like the small talk aspect of doctors in their offices. I just want a diagnosis, prescription, and to get out. I respect the medical profession but being in a waiting room full of sick people really makes me not want to go to the doctor at all. ","I can't think of a specific experience off the top of my head, but when I was seeing my psychiatrist, he often tried putting me on anti-depressants I knew wouldnt work because we had disagreements about my symptoms. After several months, he realized I was right. ","I think it depends on the type of doctor, but on the whole, I trust doctors to prescribe medications and diagnose, but I also trust my own feelings about my body and what I need. So I usually pit the two against each other. "
"I feel I have a capacity to learn the information ,but it is difficult due to the wording , and the way the medical information is presented. If I had better resources and someone to  explain some of the working I feel I would have not problems finding out that information","I feel most anxious about getting shots because of the pain , and the awkwardness of the situation . I am also worried the doctors may find issues with my health which can be very life changing .",When my grandparent was in the hospital I was really the one responding for explaining to the rest of the family what was going on with is health. Therefore I demonstrated knowledge in doing so," I feel I can trust them based on the general information , and listen to solutions where I know they are not just trying to take my money. Many times the use of fancy language and misdiagnosis lead me , and many other patience astray which is why I am neutral in that I trust most of their practice , but know they can have bad intentions and give wrong information."
"i read, write, and understand the English language pretty well.  I have completed four years of college an have a BBA in business ",you dread  awful test results even if you may have been expecting it so the natural response is to be anxious,taking care of my mother who had lymphoma and taking care of my grandmother who had dementia.  i had to learn about medications and procedures,you go to the doctor for help and in most cases you get it.  they are educated healers an if the fit is right between the two of you there is an easy trust
I don't feel as if I have the capacity to obtain and understand basic health information greatly. I constantly need help in understanding basic health information. ,The thing that makes me feel the most anxious or worried when I visit the doctor is the fact that I might have a medical condition that will cost a lot of money to cure or a long time.,One experience in my life that has demonstrated my knowledge of health or medical issues is when my grandfather started to suffer from a heart attack. I saw the symptoms. ,I trust my primary care physician because I have been with him since I was a kid and he has been truthful and honest ever since. He has also been my family's primary care physician.
I feel I am able to make appropriate health decisions - I ask a lot of questions and if unsure I will look it up online to make an intelligent decision,Nothing really makes me feel anxious at all when I go to the doctor suprisingly I have always had good checkups and no major health issues. ,"An instance in my life that demonstrated medical issues is when i was pregnant and put on bedrest  I was very aware of how to act, what to do and not to do.  I was able to carry to full term when only given a 30% chance of it",I will go to the doctor if something is wrong and so far have never been sent wrong or given wrong advice or information
Reading medical information has never been a issue for me. I understand and process basic health information. I'm able to make important health care decisions for myself and others.,I'm only anxious when I have to wait for test results. In general I'm never anxious or worried when I visit my doctor.,"My mother began feeling ill and was experiencing shortness of breath, chest pain, and radiating pain in her left arm. I knew she needed to go to the hospital to get checked out because something was going on with her heart. The doctors did a heart catherization and sure enough she needed stents in her heart.","I trust my doctor because they have never given me a reason not to trust them. They are intelligent, caring, and have great bed side manners. When ever I'm not feeling well they come up with a great plan or solution to get me back to feeling better."
"I believe I have a basic understanding of health related information when it is laid out in simple manner by a doctor or nurse.  If there is something I find confusing or hard to interpret, I'll on occasion ask for some elaboration and a better explanation to help me be more certain.  In that way I don't leave misinformed.","Whenever I'm in a doctor's office, hospital, or clinic setting, I just have an uneasy feeling in general.  Doctor's offices and hospitals make me nervous as I associate them with health problems and pain.  I often feel worried when waiting for results as I'm nervous to see if they have good or bad news for me regarding my health.  I usually rely on a doctor's demeanor or personality to help comfort and relax me in these types of situations.","I experienced symptoms of a sickness, fever for a few days, etc.  I remained sick for an extended period of time which caused me to think something was wrong.  I went to a doctor and it was determined that I had walking pneumonia.  I feel relieved to have gone early to prevent anything worse from happening.","I usually trust doctors to provide the best care possible for me or my family.  As long as frequent checkups and follow-ups occur, doctors can closely monitor a patient's health and provide the appropriate treatments for any conditions they may have.  As long as a doctor keeps a good relationship with me and makes me feel comfortable I trust in them to have good intentions for my health."
I  can find answers to basic health information very easily.   I  can use several  sources of information that are easy to access right from my computer.,If  I have been doing research on something that I think that I have symptoms.  It usually turns out to be nothing.  He tells me right away if something has gone wrong.  I have learned to take better care of myself so  I am not too nervous.,I was having trouble urinating and  I  contacted my doctor and he told that I had a swollen prostate.   I looked up the symptoms and I immediately took action.,He is great. I enjoy going to my doctor.  He has been my doctor for some time and he always recommends what is best for the situation.  He doesn't rush me to do anything and he is always keeping up with how I am doing.
"I don't do yearly checkups to doctors, so when I do I usually have to have them explain a little. I only go when I need to go. Distance is the main issue, since most doctor offices are located almost completely out of town.",What medication is the doctor going to put me on? I don't like needles and I have a good idea of what is wrong with me before I go to the doctor.,"I'm Not always accurate on medical information provided. I didn't go to medical school, this is more of reducing health risks on health.","I don't trust a lot of doctors. Not all doctors in medical field are there for patient health, just money for lining their pockets. Not for well being of patients."
"I don't always understand healthcare professionals, so when I go online and do my own research.  I take the information that I'm given and search out whatever other information I need to know.",I don't really stress much because I know my body.  I have a slight degree about the worry that something else might appear. but all in all I trust my doctor.,I have lowered my A1C by changing to a ketogenic diet.  My doctor did not agree with the diet but I did my own research and found what works for me.,"I have a good endocrinologist that I trust with medical issues; however, when it comes to diet recommendations he does not have accurate info.  I listen to my body and know that I must eat a ketogenic diet which my doctor does not agree with."
"Basic information is easy. Its the mre detailed things that need better explanations. Being an insulin dependent type 1 diabetic, there is a lot of info. Most doctors don't want to take the time to explain.","I worry most about my blood test results, how to deal with my multiple conditions, and now much time I will be given to discuss my problems and questions.","When I have had to switch doctor's, I havehad to educate them a lot of times on my diabetes and my treatments.",Doctors today spend too little time with each patient because they're in a rush to get to the next one. Doctors also hand out prescriptions for medications based on the added income they make for doing so. Its very difficult to rely on and trust the medical community anymore.
"Considering the fact that I've had a lot of health issues growing up, I feel im more than capable. Whenever I have questions I'm more than willing to ask my health care provider. While I was in the military it was recommended that you asked questions due to the fact you weren't guaranteed to see the same doctor and a person should be informed of their ailments so they can explain it to another health care provider.","The fear of the unknown is one of my biggest issues regarding medical exams. To a certain degree I'd rather have a disease or ailment and not know about it and have peace of mind, rather than knowingly have a disease and stress over it.","I was diagnosed with testicular cancer and was told that I had two options to help become cancer free. We the information I was giving, i made the decision that I felt comfortable with and I don't regret it.",I have a genuine trust in doctors for the simple fact a doctor's isn't afforded mistakes. If a health care provider makes an occupational they could possibly be subjected to legal ramifications.
"I have no type of issues where I cannot understand what a health care professional is telling me.If it is something I don't understand, I will ask them to explain it to me further",I always feel anxious when I have to go in for a well woman's exam to get an internal check up. The thought of the pain always gets to me,None I can think of at the moment. I am pretty much a healthy person with hardly any health issues. I have to type something else because the survey requires it. I really do not have anything else to say on this question. I would like to move on the rest of the survey now. Thank you!,I trust my doctor because he has been around for many years and has the experience in treating pretty much everything. 
I feel like I have a fairly good basis of medical knowledge.  I am in school to be a PTA at the moment.  I have at least a semblance of knowledge in regards to the human body and how it functions. As far as forms and things. They can be a bit tricky once in a great while.  Otherwise I find them fairly straightforward. ,I am mostly nervous about the cost of the visit.  To a lesser extent I am worried about what he might find (ie cancer) or something of that ture. ,I lived overseas for awhile in the jungle.  I got a fungal infection.  After ascertaining what had happened through a medical reference textbook I purchased antifungal medication from a pharmacy and treated myself successfully. ,I trust my primary care provider a great deal.  He has done quite a bit to inform me of low cost options for treatment as well as flat out given me prescriptions.  He is also a big believer in preventative medicine.  The guy is a gem. 
"I feel fairly well equipped to handle health information and to make appropriate health decisions. I am assertive enough to ask questions if I really don't get something, although typically, when I ask a doctor or nurse a question, it is usually just for clarification.","I worry that I may have a serious medical condition. This is usually fretting about nothing, but I continue to worry anyway.","I did fairly well in biology classes, and have remained curious about science in my post school life. I am no scientist, but I feel comfortable with scientific concepts, so medical and health information pose no specific barrier to me, especially if I am allowed to research and ask questions.","I have been having a growing feeling that my doctor is not doing all he can to help me lower my blood pressure. The medication I am using now, the fourth, is not working very well at all."
I believe that I have a general understanding of health information and  require no additional help in understanding my medical care.,"I think it is a normal feeling when visiting any medical facility. I am not usually anxious about result or findings, just generally anxious.",An experience that demonstrated my health knowledge was noticing symptoms of my father's new onset of diabetes: urinary frequency and increased thirst.,I trust my PCP because of his past experience and the care that he has provided for my family throughout the years.
I CAN UNDERSTAND MST THINGS BUT SOMETIMES NEED TO USE THE INTERNET FOR A MORE THOUROUGH EXPLAINATION,I am concerned that I will not be listened to and the doctor will not take symptoms serious enough to find out what is causing them. The doctor makes you feel as if you do not know how your body feels,I have a pinched nerve in neck and know when inflamation is severe and am able to ease the pain by doing isometrics. I know the immune system requires certain vitamins to be effective. I also think the medical people do not take ordinary people seriously enough,Doctor never listens to concerns and basically acts superior does not explain anything and rarely rechecks if I still have the symptoms
"I think I have a good enough understanding of medical conditions and the treatments for them. Anything I don't fully understand, I can research, myself.","Most people are afraid of being told something is wrong, by their doctor. It's human nature to avoid this.","I really don't have a specific experience that I can recall. Either, I know about a medical condition or I don't.","Many doctors follow the western methods of treatment: cut, burn, poison. Still others, are constrained by the medical system they are in."
Been working in the medical field. Worked as a nurses aide and medication aide for 18 years. So I pretty much know something. If have question or concern I will Google it,Right the only thing is hearing that I have major health issues going on.as with anyone everyone hates receiving bad news.,Working in a nursing home. Caring for my grandma that was in hospice and my brother in law. And now caring for my mom and my new born granddaughter that has downs syndrome ,My doctor is from India and she seems to be well educated. She goes over everything and send you to specialist. If she thinks the is a need too
"I think I have the ability to process and understand basic health information given my background in chemistry and biology. For terms/concepts I don't understand, I tend to Google the information to learn about it. ",The possibility of having a health complication that will affect my day to day life. It would be very unpleasant to hear that I would have to take medication for the rest of my life for a health condition.,"Over the course of several days, I've noticed my roommate has stayed in the bathroom for long periods throwing up. His diet isn't the best, as he consumes a lot of sugary foods/drinks such as soda and candy as well as eating a lot of fast food. I told him his symptoms reminded me of someone who has acid reflux and searched online to confirm these symptoms. When he got officially diagnosed by a doctor, it was confirmed. ",The reason why I trust my primary care physician is because of his personality and willingness to answer any questions I would have. His explanation for his methods or recommendations are pretty reasonable and sound and he never rushes me through an appointment. 
"I don't think that I would have any problems obtaining, processing, or understanding basic health information and services needed to make appropriate health decisions.","That they are going to find something else wrong with me, as if there aren't enough already, and it is going to require more tests and my insurance won't pay for it. ",I have had health issues all my life and have had many tests and procedures performed on me. About 2008 I did my own research & discovered that I could have Fibromyalgia. I took this information to my doctor and he performed another test confirming my findings.,I believe all people only care about themselves and would take care of number 1 before anybody. In general people can not be trusted.
"My doctor's breakdown medical terms and always encourage me to ask questions. They also make sure I can explain it back to them and further explain where needed. With this help, I am able to leave with understanding of what's happening & what I need to do. ","I'm am always nervous about anyone besides my husband touching me, esp being naked or exposed to them. Sometimes, even sharing intimate or personal information with new doctor makes me a little uneasy. ",Went to a doctor with abdominal pain. Told doctor I needed a urine culture for a UTI and antibiotics. Dr ran several tests only to conclude I had a bad UTI which needed double dose of antibiotics. ,"I usually do research before going in to my doctor to get as much information as possible. My doctor encourages me to do so & is willing to explain reason for his/her choice. Rarely I'll insist on certain treatment types & my doctor will explain the risks, but respects my decision. "
Doctor offices scare me and it is like right before a big test. My mind goes blank. I cannot process what is going on. I would often have to ask the doctor or professiol to repeat what they are telling me. I look like a deer in headlights when I listen to them. It takes me hours afterwards to process what was said.,"In my dad's side of the family (possibly mom's too), we all have fear of doctors. I worry that the doctor will find something really wrong with me that nobody can fix. I'd rather live my life happily not knowing instead of dreading what I could possibly have.",Lots of hospital tv shows. Lol... Just basic knowledge and most of these are math story problems which is pretty much common sense math.,"My doctor seems always pressed for time everytime I go there. He rushes me in/out without really talking in depth. But he seems to know what he's doing, so I sort of trust him. I will speak up next time it bothers me."
I can understand what I'm told to me by a doctor but when they use terms that I've never heard of before I get them to explain it to me in terms that the everyday person understands. I can understand all the basic info they tell me.,That they will find something wrong with me that is very harmful and that would be life changing. Today going to get checked by a doctor with all the things that can go wrong is a very stressful thing.,When my father was told that he had a heart problem and they were going to put a tube in his vain to open it up and when they said that if that doesn't work they were going to put a stint in his artery.,It's hard to trust a doctor these days with the amount of money that is involved it's more about money than people I'm afraid.   
Not all that  much  about  50% of the time if I am lucky  wish I understood  it better so I would  not need  so much  help with it,I just do not like the a doctor's office  so much they are  so boring sitting  and waiting for  the doctor ,Well I have a hard time just understanding  this  doctor  stuff  because  you ask a question  and they do not answer  or they do not know,He seems like  a  good  person  hope  I can  keep  this one longer then a year  I hope  all goes  well  with  this  doctor  
"I think I have a good sense in knowing any medical problems. If however it doesn't make sense, I need additional explanations broken down to where I can easily understand it better.","I was only anxious of what the outcome of my diagnosis could be. The doctor was asking questions, and I was thinking the worst.","I demonstrate knowledge of health with my kids all the time. Especially if they are sick and not feeling well, I generally know what to look for and how to help get them better, and if I can't we go to the doctors.","Although some doctors give false medical treatment, I think my doctor is very passionate and caring about what he does. "
"I have an understanding of my medical problems, so I feel that what the doctors recommend, I am able to make a decision.  If there is an option that I am not aware of, I will have the doctor explain it to me.","I always wonder if they will find something else wrong, besides the problem that I am there for.  I usually get a little anxious because I know that I have waited too long before going to see the doctor.","I had leg swelling, and red blotches above my ankles, so I went to a clinic that open.  The doctor there told me that I had cellulitis, but I didn't think so because there was too much pain involved.  I decided to go the hospital ER and get a different opinion.  After the results of the tests, I was informed that I had three blood clots in my outer vein.  I was given antibiotics and a list of doctors to see for the recommended surgery.","The doctor always explains the medical problem in detail, and doesn't assume you know what he is talking about.  He thoroughly answers all my questions about the problem or the options."
"I feel I am fully capable of making appropriate health decisions. If I have any questions, I don't hesitate to ask the appropriate professional.","I feel anxious because there is always the possibility of something serious being diagnosed. My health isn't the best, so I tend to worry.","When I took this quiz you just gave. Not sure about a couple answers, but positive about others. Also when friends have questions, Ican sometimes help because I've been through so much.","I normally trust my doctor, however, I have gotten diabetes and tardive dyskinesia as a result of medications prescribed to me by some of my doctors. For that reason, I don't completely trust doctors."
I understand reading and filling out forms when I go to a dr. Appointment I usually don't have issues.,What makes me feel anxious or worried is the dr. Finding something wrong. Also when you go the dr. And they find something wrong and sometimes you have to take test and waiting for the results is the worst part when you don't know what to expect.,I'm not a professional or an expert I don't know that much or as much as I think I should no. I probably need to look more into it or get more info and be aware.,I trust my dr. But I just feel that sometimes you need a second opinion which i find nothing wrong with that.
"I have complete faith in my ability to read, understand and seek any information if needed regarding my own healthcare and related services.",I sometimes have fleeting feelings of uneasiness that my test results may find something negative about my health,On numerous occasions I have read my blood and lab reports which gave the ranges of acceptance.  I worked in a hospital for over 10 years and am familiar with more medical terms than the average individual,My doctor is very thorough and intelligent.  He has always communicated directly to me and his decisions about my treatment have been right on target.
Pretty good if i understand what your asking me.i dont understand question i am hoping in the next question or two i will understand what this question means.,I am always worry if i will come down with some dreaded disease or the doctor will find something wrong with me,Wel) people that i know get sick or i get sick i try to get to know as much as i can about the illness or condition,She listens to my needs and trys to get to the root of the problem and orders tes%s if applicable and she if affiliated with the neareat hospital
I think that I am capable of figuring out and making concious healthcare decisions when I am faced with it. I understand the services and what is required of me and I fully comprehend what my health care provider is telling me.,When I need specific medication my doctor is very judgemental and when I ask for specific stuff i read about online he totally hates on the ideas and takes a very holier than though attitude with me and says no to any sort of request I make so he makes me nervous,Well I don't know a ton of  stuff honestly but I know enough about traumatic injuries and we were playing basketball and my friend hurt his foot really badly and he kept saying it was broken and i said it was sprained so we went to the doctor and he ended up having it sprained and not broke.,"My doctor is a little impersonal so I dont distrust him but I dont trust him fully either, sometimes he very attentive and other times he is apathetic and doesnt give a care about me so its hard to decipher which day he is which."
"I have the capacity to obtain, process and understand basic health information and services needed to make health decisions. ",I am anxious because I do not like waiting to see the physician. Sometimes the wait is too long and it make me anxious. ,I am taking care of my mother who has a history of blood clots and Hypertension and my husband has diabetes. I have Lupus. ,I trust my physician because he is a Christian. He is always up beat and nice to me. He knows my health condition and treats me accordingly. 
